Ranking,Name,Games,Points,Win,Draw,Lost,GSC,GL,Kolumna1,Home win,Home draw,Home lost,HGSC,HGL,_1,Away win,Away draw,Away lost,AGSC,AGL,_2,Budget million PLN
1,Legia Warszawa,30,64,19,7,4,48,24,48-24,9,3,3,29,19,29-19,10,4,1,19,5,19-5,109
2,Raków Czêstochowa,30,59,17,8,5,46,25,46-25,9,3,3,19,9,19-9,8,5,2,27,16,27-16,22
3,Pogoñ Szczecin,30,52,15,7,8,36,23,36-23,8,5,2,17,9,17-9,7,2,6,19,15,19-15,41
4,Œl¹sk Wroc³aw,30,43,11,10,9,36,32,36-32,7,7,1,21,13,21-13,4,3,8,15,19,15-19,30
5,Warta Poznañ,30,43,13,4,13,33,32,33-32,6,2,7,14,15,14-15,7,2,6,19,17,19-17,10
6,Piast Gliwice,30,42,11,9,10,39,32,39-32,6,3,6,18,15,18-15,5,6,4,21,17,21-17,32
7,Lechia Gdañsk,30,42,12,6,12,40,37,40-37,6,3,6,23,18,23-18,6,3,6,17,19,17-19,42
8,Zag³êbie Lubin,30,41,11,8,11,38,40,38-40,7,5,3,24,19,24-19,4,3,8,14,21,14-21,35
9,Jagiellonia Bia³ystok,30,37,10,7,13,39,48,39-48,6,5,4,23,19,23-19,4,2,9,16,29,16-29,35
10,Górnik Zabrze,30,37,10,7,13,31,33,31-33,6,3,6,22,20,22-20,4,4,7,9,13,9-13,30
11,Lech Poznañ,30,37,9,10,11,39,38,39-38,4,7,4,19,17,19-17,5,3,7,20,21,20-21,76
12,Wis³a P³ock,30,33,8,9,13,37,44,37-44,4,4,7,18,19,18-19,4,5,6,19,25,19-25,31
13,Wis³a Kraków,30,33,8,9,13,39,42,39-42,4,2,9,19,24,19-24,4,7,4,20,18,20-18,31
14,Cracovia,30,32,8,13,9,28,32,28-32,6,5,4,18,18,18-18,2,8,5,10,14,10-14,30
15,Stal Mielec,30,29,6,11,13,31,47,31-47,4,5,6,12,20,12-20,2,6,7,19,27,19-27,13
16,Podbeskidzie Bielsko-Bia³a,30,25,6,7,17,29,60,29-60,6,4,5,17,23,17-23,0,3,12,12,37,12-37,18
