Name,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29
CRA,4,2,2,2,3,3,2,4,3,3,2,2,2,3,2,1,3,3,3,3,4,2,2,2,1,1,1,1,2
GÓR,5,5,4,4,4,4,5,5,7,5,4,4,4,5,6,5,5,5,5,4,6,6,5,4,6,6,7,6,5
JAG,4,4,5,5,5,4,3,5,5,6,5,4,3,5,6,5,4,6,5,5,6,6,5,6,6,5,4,7,6
LPO,6,6,6,7,6,5,6,5,6,6,5,5,5,5,7,4,5,3,3,4,4,3,5,3,3,4,3,5,4
LGD,8,9,5,6,7,6,6,6,6,5,5,6,6,6,6,7,6,6,6,6,6,6,5,5,6,7,6,4,5
LEG,6,6,5,5,6,5,6,6,6,5,6,6,5,6,6,7,6,6,5,6,5,6,5,5,6,6,6,5,6
PIA,7,7,7,8,6,7,7,7,8,8,8,7,7,9,7,7,7,7,7,8,7,7,8,7,7,7,6,9,8
POD,9,10,9,9,7,10,10,9,7,7,7,4,7,7,5,5,4,6,5,3,5,7,7,7,7,6,6,3,5
POG,8,7,6,5,7,5,6,5,5,5,5,5,6,7,7,6,6,5,6,8,6,6,6,6,7,7,8,8,8
RCZ,6,6,6,6,6,6,6,5,6,8,6,6,5,4,3,3,4,5,5,4,6,5,6,6,7,6,6,4,4
STM,9,9,9,10,10,10,10,10,9,9,9,9,9,9,8,7,7,6,6,8,5,6,6,8,9,8,7,9,9
ŒL¥,7,7,6,5,5,5,6,5,6,5,5,6,5,6,5,5,4,5,5,3,4,3,7,8,8,6,8,7,6
WAR,11,11,11,11,11,9,9,9,9,10,10,11,11,11,10,10,10,10,10,9,8,9,9,9,8,8,8,8,9
WIS,6,6,6,5,4,5,5,5,6,4,4,4,5,5,4,5,4,5,5,6,4,4,3,4,4,5,5,5,4
WP£,8,8,7,8,8,8,6,6,5,7,7,5,6,8,8,8,8,8,7,7,8,8,8,7,8,7,9,9,9
ZAG,5,5,5,4,5,5,5,5,6,7,5,7,7,7,6,9,8,7,7,7,6,6,7,9,9,7,7,7,7
