Club,Number of players,Av age,Foreigners,Total value,Av value
Lech Poznañ,29,24.2,13,29.75,1.03
Legia Warszawa,31,26.9,14,27.68,0.893
Raków Czêstochowa,30,25.6,12,21.35,0.712
Pogoñ Szczecin,33,24.7,10,20.6,0.624
Jagiellonia Bia³ystok,33,24.9,13,17.35,0.526
Cracovia,43,24.4,20,13.83,0.322
Lechia Gdañsk,27,25,13,13.35,0.494
Wis³a Kraków,31,25.2,14,13.33,0.43
Górnik Zabrze,25,24.1,9,13,0.52
Zag³êbie Lubin,31,24.3,8,12.53,0.404
Piast Gliwice,28,26.9,6,12.25,0.438
Wis³a P³ock,32,25.8,9,10.58,0.33
Œl¹sk Wroc³aw,33,26.4,8,10.55,0.32
Warta Poznañ,29,25.1,4,9.25,0.319
Stal Mielec,33,25.8,7,6.98,0.211
Podbeskidzie Bielsko-Bia³a,27,26.9,12,5.63,0.208
